name;automata-runtime;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-trim;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-determinization;pyfado-complement;pyfado-emptiness;pyfado-result;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-complement;pyautomata-lib-emptiness;pyautomata-lib-result;java-automatalib-runtime;java-automatalib-construction;java-automatalib-compl;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1170.0.mata;ERR;0.04; 0.0423649; 0.00381655; 0.000345405; 0.000179103; false;0.14; 0.0608102; 0.0346402; 0.0337355; 0.00890937; 0.00824384; false;0.1; 0.124087; 0.014635; 0.0426903; 0.0218637; 0.00412328; false;1.37; 0.1004; 0.0000; 0.0119; 0.0004; 0.0000; False;1.66; 0.0976; 0.0721; 0.2922; 0.3044; 0.0688; False;0.98; 0.0572; 0.0174; 0.0367; 0.0410; 0.0001; False;2.63; 0.414290608; 0.074067747; 0.002174495; false;2.02; 0.181540666; 0.047759822; 4.4676E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1172.0.mata;ERR;0.07; 0.0637075; 0.00727305; 0.000489936; 0.000188785; false;0.15; 0.0701463; 0.0316541; 0.0317437; 0.0125677; 0.0127162; false;0.1; 0.0829104; 0.00506208; 0.0263472; 0.0049649; 0.00743764; false;1.41; 0.1054; 0.0000; 0.0135; 0.0008; 0.0000; False;1.75; 0.0993; 0.0703; 0.2913; 0.2945; 0.0338; False;1.24; 0.0702; 0.0173; 0.0357; 0.0428; 0.0001; False;2.53; 0.337636452; 0.086764879; 0.002102498; false;1.87; 0.114873641; 0.085400207; 3.1471E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1307.0.mata;ERR;0.01; 0.0144657; 0.00312791; 0.000167789; 6.9134e-05; false;0.04; 0.013891; 0.00677815; 0.0159101; 0.00376569; 0.00363192; false;0.02; 0.0125781; 0.000938377; 0.00554815; 0.0021369; 0.00159486; false;1.26; 0.0297; 0.0000; 0.0061; 0.0003; 0.0000; False;1.3; 0.0262; 0.0065; 0.0855; 0.0868; 0.0062; False;1.27; 0.0280; 0.0076; 0.0290; 0.0326; 0.0001; False;1.73; 0.251856868; 0.029478272; 0.001906857; false;1.34; 0.04442016; 0.042325649; 2.8155E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1317.0.mata;ERR;0.01; 0.0143461; 0.0030399; 0.000174941; 7.9085e-05; false;0.03; 0.0134205; 0.00621468; 0.0125833; 0.00348813; 0.00378491; false;0.02; 0.0131831; 0.00104406; 0.00591473; 0.00222359; 0.00168829; false;1.23; 0.0270; 0.0000; 0.0051; 0.0002; 0.0000; False;1.35; 0.0272; 0.0070; 0.1089; 0.1096; 0.0037; False;1.23; 0.0281; 0.0075; 0.0313; 0.0350; 0.0001; False;1.74; 0.263790016; 0.073142942; 0.00250514; false;1.39; 0.05526957; 0.043902727; 3.87E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1337.0.mata;ERR;0.05; 0.0818342; 0.00656734; 0.000378719; 0.000163341; false;0.13; 0.0538146; 0.027597; 0.0324626; 0.0105616; 0.010659; false;0.08; 0.0532481; 0.00386027; 0.0122925; 0.00410438; 0.00359334; false;0.96; 0.0443; 0.0000; 0.0056; 0.0002; 0.0000; False;1.66; 0.0840; 0.0502; 0.2797; 0.2829; 0.0307; False;1.41; 0.0812; 0.0245; 0.0712; 0.0796; 0.0001; False;2.54; 0.36424563; 0.041538826; 0.001791069; false;1.63; 0.105477536; 0.041506656; 3.8469E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1357.0.mata;ERR;0.05; 0.102676; 0.00636189; 0.00035467; 0.000171776; false;0.08; 0.0281407; 0.017431; 0.0233889; 0.00905706; 0.00928498; false;0.07; 0.0491891; 0.00353516; 0.0116607; 0.00409066; 0.00396461; false;1.02; 0.0468; 0.0000; 0.0067; 0.0003; 0.0000; False;1.59; 0.1064; 0.0565; 0.3367; 0.3396; 0.0267; False;1.32; 0.0789; 0.0273; 0.0652; 0.0733; 0.0001; False;2.19; 0.38474617; 0.032364317; 0.001774509; false;1.65; 0.093432312; 0.041293825; 3.1519E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1370.0.mata;ERR;0.04; 0.0322601; 0.0077487; 0.00043335; 0.000191313; false;0.14; 0.0598792; 0.0365947; 0.0327839; 0.00904394; 0.00906187; false;0.1; 0.0598838; 0.0043597; 0.0226922; 0.00461318; 0.00415787; false;1.26; 0.0901; 0.0000; 0.0118; 0.0004; 0.0000; False;1.67; 0.0956; 0.0664; 0.3064; 0.3099; 0.0364; False;1.49; 0.0848; 0.0331; 0.0816; 0.0919; 0.0001; False;2.39; 0.368249783; 0.039248152; 0.002102571; false;1.96; 0.209676387; 0.0584403; 3.7002E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1371.0.mata;ERR;0.06; 0.065269; 0.00707902; 0.000385795; 0.000195941; false;0.1; 0.0563158; 0.0207392; 0.0193947; 0.00563297; 0.00658301; false;0.09; 0.0575416; 0.00406714; 0.0225165; 0.00412544; 0.00376998; false;1.18; 0.0945; 0.0000; 0.0082; 0.0005; 0.0000; False;1.51; 0.0809; 0.0678; 0.3226; 0.3259; 0.0361; False;1.27; 0.0863; 0.0300; 0.0723; 0.0809; 0.0001; False;2.69; 0.446445887; 0.046747023; 0.009983942; false;1.83; 0.147760649; 0.047306628; 3.1321E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1375.0.mata;ERR;0.05; 0.0496249; 0.00649718; 0.000468119; 0.000176503; false;0.14; 0.0534963; 0.0281919; 0.031226; 0.0136133; 0.0131748; false;0.07; 0.0535219; 0.00379583; 0.0119443; 0.00386315; 0.00313581; false;1.19; 0.0833; 0.0000; 0.0097; 0.0003; 0.0000; False;1.53; 0.0761; 0.0461; 0.2353; 0.2379; 0.0263; False;1.26; 0.0529; 0.0204; 0.0569; 0.0625; 0.0001; False;2.36; 0.380339468; 0.030516505; 0.001545427; false;1.77; 0.099275118; 0.045841861; 3.5E-5; false
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1379.0.mata;ERR;0.06; 0.0754563; 0.0078542; 0.000428476; 0.000179223; false;0.15; 0.0683293; 0.0512343; 0.0400534; 0.0134175; 0.0253942; false;0.09; 0.0529947; 0.00402491; 0.023259; 0.00444327; 0.00407152; false;1.26; 0.0931; 0.0000; 0.0114; 0.0004; 0.0000; False;1.57; 0.0870; 0.0616; 0.2941; 0.2973; 0.0355; False;1.46; 0.0921; 0.0334; 0.0801; 0.0898; 0.0001; False;2.26; 0.326058052; 0.063125784; 0.002486585; false;1.99; 0.225750288; 0.072468117; 3.1725E-5; false
