name;mata-runtime;mata-mataparsing;mata-concat;mata-trim;mata-emptiness_check;mata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-construction;awali-concat;awali-trim;awali-emptiness_check;awali-emptiness_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-concat;pymata-trimming;pymata-emptiness;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-concat;pyfado-emptiness;pyfado-result;java-brics-runtime;java-brics-construction;java-brics-concat;java-brics-emptiness_check;java-brics-emptiness_result
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance08425-4.mata;0.03; 0.000328272;0.013836757;0.003112814; 0.000492177; false;0.12; 0.000302698; 2.5801e-05;0.051608233;0.043291648; 0.0226542; false;1.0; 0.0047; 0.0000;0.0411;0.0063; 0.0014; False;32.58; 0.0046; 0.0001;16.0915; 15.8757; False;0.79; 0.008597254;0.043296352999999996; 2.424E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance08472-1.mata;0.06; 0.000321864;0.02108802;0.012507148; 0.00148569; false;0.39; 0.000304473; 3.7706e-05;0.169810976;0.158683198; 0.0785734; false;2.59; 0.0067; 0.0000;0.1997;1.3891; 0.0167; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;1.36; 0.00936252;0.242449888; 2.2329E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance08537-1.mata;0.11; 0.000588236;0.034539324999999996;0.011437585; 0.0020248; false;0.42; 0.000612691; 5.5875e-05;0.170166983;0.171853667; 0.0799379; false;1.93; 0.0072; 0.0000;0.2304;0.6299; 0.0160; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;1.33; 0.018440635;0.210507625; 2.5284E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance08537-2.mata;0.07; 0.000344246;0.023013712999999998;0.013771706; 0.00143462; false;0.44; 0.000346458; 4.1739e-05;0.190806209;0.179735335; 0.0897733; false;2.94; 0.0069; 0.0000;0.2229;1.7031; 0.0189; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;1.34; 0.007761662;0.27939980000000003; 3.2005E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance08649-1.mata;0.04; 0.000299819;0.012103506;0.007704358; 0.00112174; false;0.25; 0.000190236; 2.4799e-05;0.10471741300000001;0.113968243; 0.0552006; false;1.88; 0.0048; 0.0000;0.14650000000000002;0.9222; 0.0110; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;1.68; 0.010664509;0.32824159099999994; 3.4748E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance08649-2.mata;0.0; 8.0875e-05;0.0005710789999999999;0.000353447; 6.2326e-05; false;0.01; 9.4104e-05; 9.889e-06;0.005664561;0.004076344; 0.00188054; false;1.17; 0.0065; 0.0000;0.0057;0.0012000000000000001; 0.0005; False;2.38; 0.0063; 0.0001;1.2155; 0.0814; False;0.94; 0.005746747;0.016451861999999998; 2.3483E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance08649-3.mata;0.0; 0.000120986;0.003108785;0.000633084; 0.000178163; false;0.03; 0.000137906; 1.2193e-05;0.013178137;0.009877726; 0.00512842; false;1.13; 0.0064; 0.0000;0.0178;0.0016; 0.0006; False;8.21; 0.0065; 0.0001;4.2812; 2.8467; False;0.9; 0.006465451;0.016475415; 2.3305E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance08649-4.mata;0.02; 0.000249912;0.008518841;0.001338356; 0.000448708; false;0.05; 0.000224367; 1.7928e-05;0.026481237999999997;0.020635672; 0.0106198; false;1.14; 0.0068; 0.0000;0.0401;0.0027; 0.0008; False;27.75; 0.0066; 0.0001;9.1922; 17.7082; False;0.94; 0.00854763;0.017505819; 2.5197E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance08649-5.mata;0.02; 0.000219537;0.009463598;0.001532863; 0.000545143; false;0.06; 0.000234583; 2.3956e-05;0.027120593999999998;0.021309547; 0.0109424; false;1.26; 0.0067; 0.0000;0.0431;0.0029; 0.0008; False;28.08; 0.0066; 0.0002;9.4846; 17.7025; False;0.79; 0.006557978;0.015845401000000002; 3.0552E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance08649-6.mata;0.0; 8.2356e-05;0.000556478;0.00035478; 5.2762e-05; false;0.01; 9.4527e-05; 8.347e-06;0.005707832;0.0040132810000000005; 0.00194312; false;1.16; 0.0067; 0.0000;0.0054;0.0013; 0.0005; False;2.38; 0.0067; 0.0001;1.1309; 0.1087; False;0.78; 0.005030953;0.014734443; 2.4631E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance08649-7.mata;0.92; 0.00579988;0.36329228700000005;0.054748082; 0.00497568; false;2.26; 0.00671845; 0.000517469;1.2076966599999999;0.87534614; 0.341755; false;2.96; 0.0148; 0.0000;1.5950000000000002;0.18230000000000002; 0.0293; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;1.29; 0.026587881;0.176643093; 2.6123E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance08649-8.mata;1.87; 0.0176009;0.708558764;0.135372161; 0.00259681; false;7.59; 0.017312; 0.00156919;3.27662297;3.1030501900000003; 1.62604; false;3.9; 0.0187; 0.0000;3.1193;0.1604; 0.0614; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;2.73; 0.053171981;0.715842927; 2.5646E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance08921-1.mata;0.0; 5.1625e-05;0.00029459;0.000180363; 3.2497e-05; false;0.01; 0.000103387; 1.4153e-05;0.005415536;0.003745065; 0.00179932; false;1.03; 0.0061; 0.0000;0.004699999999999999;0.0008; 0.0002; False;1.83; 0.0049; 0.0001;0.8374; 0.0778; False;0.71; 0.004655251;0.016279099999999998; 1.3332E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance08921-10.mata;0.01; 0.00012489;0.004575040000000001;0.000868217; 0.000293849; false;0.03; 0.000119695; 1.1313e-05;0.013570175;0.011924257; 0.00618706; false;0.79; 0.0045; 0.0000;0.0212;0.0015; 0.0005; False;20.41; 0.0045; 0.0001;6.367; 13.1552; False;0.71; 0.005320904;0.013069266999999999; 2.3956E-5; false
