name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-intersection;mata-bin-emptiness_check;automata-runtime;automata-construction;automata-intersection;automata-trim;automata-emptiness_check;automata-emptiness_result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-trim;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-emptiness_check;awali-emptiness_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-emptiness;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-emptiness;pyfado-result;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime;java-brics-construction;java-brics-intersection;java-brics-emptiness_check;java-brics-emptiness_result
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-750-rhs.mata;1.79; 0.593182; 0.0657624; 1.2616; 0.1895;13.98;0.2523421; 14.5992227000; 0.0009753000; 0.0002859000; False;2.03; 0.474281; 0.0978923; 1.46898; 0.290813; 0.000183183; false;10.21; 0.628234; 0.0741387;0.0254095; 5.16196; 4.03111; 1.09259; false;10.63; 0.471064; 0.0772074;0.00392495; 4.03495; 5.95258; 0.0787898; false;9.75; 0.5035; 0.0000; 6.8787; 2.0329; 0.0115; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;21.99;0.101424089; 9.662378413; 2.6354E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-800-rhs.mata;2.22; 0.466823; 0.107684; 1.6518; 0.1448;15.11;0.2389545; 15.7555288000; 0.0010611000; 0.0004008000; False;1.23; 0.267462; 0.0554185; 0.832854; 0.228614; 0.000139939; false;13.69; 0.477935; 0.0899009;0.0302724; 7.47787; 5.57089; 1.43865; false;12.46; 0.444944; 0.0751173;0.00394188; 4.60832; 7.08926; 0.126543; false;11.35; 0.6589; 0.0000; 8.3102; 2.1133; 0.0111; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;26.64;0.17558426; 11.648084157; 3.8851E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-850-rhs.mata;2.48; 0.738776; 0.106837; 2.2464; 0.1762;19.52;0.23031439999999997; 20.0792440000; 0.0015171000; 0.0003334000; False;2.48; 0.556366; 0.08856; 1.81887; 0.437355; 0.000374704; false;13.26; 0.599131; 0.0946317;0.034591300000000005; 7.28086; 4.71343; 1.38655; false;13.18; 0.572393; 0.0903359;0.0049166999999999995; 5.11321; 7.33393; 0.124788; false;12.15; 0.4921; 0.0000; 8.5941; 2.6879; 0.0120; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;28.6;0.112876043; 12.02933712; 3.3041E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-900-rhs.mata;3.03; 0.533344; 0.082182; 2.4707; 0.3212;23.09;0.2719891; 23.9147988000; 0.0012342000; 0.0003896000; False;2.31; 0.543964; 0.0895076; 1.62589; 0.348006; 0.000210043; false;18.79; 0.642952; 0.0939595;0.035351400000000005; 9.88381; 7.83529; 1.6415; false;14.82; 0.49014; 0.100014;0.00456611; 4.83852; 8.95805; 0.139542; false;15.78; 0.7081; 0.0000; 11.4944; 3.7469; 0.0036; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;34.94;0.106894771; 15.446361468; 2.7563E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-950-rhs.mata;2.93; 0.434349; 0.0923605; 2.6023; 0.2335;25.64;0.3004589; 26.5013238000; 0.0013397000; 0.0004061000; False;2.63; 0.609063; 0.122445; 1.96; 0.393839; 0.000169539; false;18.7; 0.415298; 0.102481;0.0275607; 10.7125; 6.56806; 2.02184; false;17.71; 0.527174; 0.099556;0.00511956; 6.77779; 9.83542; 0.139423; false;16.98; 0.7087; 0.0000; 13.3002; 3.5453; 0.0043; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;39.19;0.217275763; 16.851163199; 3.4721E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-100-rhs.mata;0.09; 0.0870471; 0.0111494; 0.0154; 0.0003;0.28;0.0842985; 0.1568484000; 0.0001026000; 0.0002004000; True;0.09; 0.0595574; 0.0195443; 0.0154797; 0.00777527; 1.907e-06; true;0.2; 0.0611444; 0.016426;0.00294484; 0.05709; 0.0852036; 3.18e-06; true;0.18; 0.0619094; 0.0169374;0.000528476; 0.0379437; 0.0679967; 0.000822529; true;1.35; 0.1206; 0.0000; 0.0987; 0.0171; 0.0000; True;56.51; 0.0869; 0.0084; 46.5072; 10.6971; True;TO;TO;1.84;0.050065909; 0.276685049; 4.5844E-5; true
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-1000-rhs.mata;3.73; 0.593387; 0.0986049; 2.9284; 0.3522;25.16;0.3213579; 25.6596230000; 0.0000914000; 0.0001106000; True;2.81; 0.620532; 0.189368; 1.98601; 0.505468; 2.089e-06; true;17.65; 0.664701; 0.0651366;0.0231676; 9.39308; 9.19895; 2.973e-06; true;18.83; 0.593185; 0.161833;0.00494847; 7.02695; 10.9682; 0.0386884; true;16.51; 0.4332; 0.0000; 13.1454; 3.7697; 0.0000; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;40.34;0.120607303; 17.279225396; 3.2979E-5; true
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-150-rhs.mata;0.14; 0.0873073; 0.0132949; 0.0295; 0.0050;0.47;0.09238919999999999; 0.3468730000; 0.0000951000; 0.0001603000; True;0.13; 0.168878; 0.0483942; 0.0416948; 0.0125346; 1.677e-06; true;0.41; 0.122787; 0.0358632;0.004255419999999999; 0.214377; 0.282012; 2.316e-06; true;0.25; 0.0503359; 0.017398;0.000449426; 0.0989396; 0.162208; 0.0015259; true;1.39; 0.1291; 0.0000; 0.2469; 0.0361; 0.0000; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;2.57;0.080538112; 0.555321363; 2.8341E-5; true
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-200-rhs.mata;0.22; 0.123692; 0.0201161; 0.0605; 0.0117;0.69;0.0678018; 0.6502253000; 0.0000979000; 0.0001963000; True;0.23; 0.12737; 0.0284878; 0.0642079; 0.0243684; 2.05e-06; true;0.75; 0.116031; 0.0252669;0.005305880000000001; 0.358943; 0.364034; 2.592e-06; true;0.6; 0.113443; 0.0255031;0.0011361119999999999; 0.200197; 0.263798; 0.00383756; true;1.83; 0.1632; 0.0000; 0.3297; 0.0888; 0.0000; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;2.93;0.071919993; 0.707111139; 4.9427E-5; true
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-250-rhs.mata;0.27; 0.142312; 0.0222332; 0.1099; 0.0172;1.08;0.1160432; 0.9659792000; 0.0000827000; 0.0001365000; True;0.28; 0.150188; 0.0356108; 0.0938786; 0.0354463; 1.591e-06; true;1.2; 0.149897; 0.0317491;0.0073725200000000005; 0.594652; 0.570204; 1.809e-06; true;0.9; 0.153408; 0.0298013;0.00134257; 0.263012; 0.494728; 0.00559666; true;2.01; 0.2065; 0.0000; 0.5722; 0.1394; 0.0000; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;4.25;0.060532296; 1.295983468; 4.2765E-5; true
