name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-automata_inclusion_naive;mata-bin-automata_inclusion_antichain;automata-runtime;automata-construction;automata-inclusion_check;automata-inclusion_result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-inclusion_check;mata-inclusion_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-inclusion_check;vata-inclusion_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-inclusion_check;awali-inclusion_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-inclusion;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-inclusion;pyfado-result;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-determinization;pyautomata-lib-inclusion;pyautomata-lib-result;java-automatalib-runtime;java-automatalib-construction;java-automatalib-inclusion_check;java-automatalib-inclusion_result;java-brics-runtime;java-brics-construction;java-brics-inclusion_check;java-brics-inclusion_result
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-1-rhs.mata;1.35; 0.13164; 0.0385773; 1.3831; 0.0028;10.99;0.1285599; 10.9459299000; False;0.15; 0.11699; 0.035955; 0.00265763; false;0.17; 0.127865; 0.0378899;0.01598364; 0.0119987; false;17.98; 0.121756; 0.0372077;0.00265407; 18.3527; false;1.33; 0.1857; 0.0000; 0.0038; False;TO;MISSING;MISSING;MISSING;MISSING;10.25; 0.1787; 0.0214;8.9485; 9.0010; False;7.78;3.835646305; 0.135731382; false;6.97;0.12262012500000001; 3.25466942; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery-4P-BinEnc-BwBadi-B-2-rhs.mata;1.53; 0.244188; 0.0726273; 1.6731; 0.0029;9.12;0.1030875; 9.0024554000; False;0.08; 0.0685006; 0.0223759; 0.00123238; false;0.17; 0.120805; 0.0373707;0.01570587; 0.0110044; false;27.82; 0.11997; 0.0398303;0.00271478; 28.9429; false;1.37; 0.1896; 0.0000; 0.0036; False;TO;MISSING;MISSING;MISSING;MISSING;9.49; 0.1842; 0.0232;8.237; 8.2568; False;8.28;4.439343221; 0.20688207; false;9.68;0.23981482699999998; 5.672727697; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-0-rhs.mata;1.55; 0.787138; 0.244756; 0.1033; 0.3973;1.03;0.48131120000000005; 0.4453163000; False;1.47; 0.818821; 0.253039; 0.413542; false;1.38; 0.792005; 0.246952;0.16509859999999998; 0.158227; false;1.58; 0.807184; 0.242634;0.0226607; 0.533352; false;2.79; 1.1588; 0.0000; 0.4617; False;TO;MISSING;MISSING;MISSING;MISSING;2.89; 1.1509; 0.2030;0.46620000000000006; 0.4756; False;5.01;1.502800486; 0.108953704; false;5.04;0.786424531; 0.399925534; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partial-A-1-rhs.mata;1.54; 0.881033; 0.229531; 0.0967; 0.4202;0.93;0.4632514; 0.4082467000; False;1.51; 0.826956; 0.255104; 0.441275; false;0.88; 0.512399; 0.152339;0.1097924; 0.0962046; false;1.59; 0.783489; 0.26186;0.022297400000000002; 0.54463; false;2.69; 1.1663; 0.0000; 0.4667; False;TO;MISSING;MISSING;MISSING;MISSING;2.4; 0.9553; 0.1056;0.2822; 0.2880; False;4.66;1.1110865460000001; 0.063348326; false;5.91;0.892444714; 0.479146715; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-2-rhs.mata;1.41; 0.868207; 0.231684; 0.0951; 0.3263;0.98;0.4284821; 0.4393774000; False;1.3; 0.772632; 0.234977; 0.327268; false;1.38; 0.785232; 0.249733;0.15831630000000002; 0.184503; false;1.52; 0.772852; 0.234443;0.02047943; 0.495039; false;2.56; 1.0968; 0.0000; 0.3653; False;TO;MISSING;MISSING;MISSING;MISSING;2.84; 1.1785; 0.1942;0.4525; 0.4639; False;4.72;1.132133154; 0.058591728; false;5.03;0.8502746160000001; 0.430097304; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbOneOne-Nondet-Partiali-B-3-rhs.mata;1.36; 0.852855; 0.227806; 0.0919; 0.2548;1.7;0.4472079; 1.0999704000; False;1.29; 0.807139; 0.243667; 0.2583; false;1.41; 0.808632; 0.251716;0.16605999999999999; 0.165795; false;1.25; 0.778108; 0.155312;0.01334403; 0.330724; false;2.43; 1.1386; 0.0000; 0.2825; False;TO;MISSING;MISSING;MISSING;MISSING;3.02; 1.2412; 0.2227;0.4678; 0.4774; False;5.35;1.223295851; 0.080635743; false;5.26;0.70022291; 0.445183339; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-3-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-3-rhs.mata;0.58; 0.378931; 0.115841; 0.0345; 0.0501;0.45;0.2663049; 0.1509851000; False;0.51; 0.395181; 0.103154; 0.029614; false;0.66; 0.398965; 0.127015;0.07542099999999999; 0.0667342; false;0.39; 0.21699; 0.0782795;0.005925089999999999; 0.0978774; false;1.23; 0.3263; 0.0000; 0.0336; False;TO;MISSING;MISSING;MISSING;MISSING;1.32; 0.3163; 0.0538;0.08549999999999999; 0.0885; False;3.58;0.6325049229999999; 0.117162094; false;3.41;0.35102632199999995; 0.212218264; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-4-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondet-A-4-rhs.mata;0.59; 0.382749; 0.11323; 0.0343; 0.0557;0.44;0.2541442; 0.1495563000; False;0.57; 0.396415; 0.125369; 0.0603748; false;0.67; 0.402026; 0.127074;0.0764805; 0.0722544; false;0.69; 0.392089; 0.127381;0.010881459999999999; 0.166852; false;1.75; 0.5617; 0.0000; 0.0603; False;TO;MISSING;MISSING;MISSING;MISSING;2.1; 0.5954; 0.1083;0.1621; 0.1676; False;3.74;0.675801448; 0.058073092; false;3.17;0.280405561; 0.24042948; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-0-rhs.mata;0.59; 0.384785; 0.12102; 0.0383; 0.0428;0.29;0.16171460000000001; 0.1029734000; False;0.57; 0.399986; 0.13154; 0.0522978; false;0.7; 0.404107; 0.134049;0.079408; 0.0784186; false;0.66; 0.408759; 0.0870057;0.006855450000000001; 0.16752; false;1.8; 0.5788; 0.0000; 0.0576; False;TO;MISSING;MISSING;MISSING;MISSING;2.02; 0.5969; 0.1109;0.1669; 0.1723; False;3.59;0.638785701; 0.079903424; false;3.09;0.324721182; 0.228614627; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-1-rhs.mata;0.58; 0.378093; 0.120064; 0.0362; 0.0389;0.45;0.2442394; 0.1584100000; False;0.55; 0.388285; 0.127782; 0.0426088; false;0.53; 0.369199; 0.0840366;0.045731499999999994; 0.0468145; false;0.61; 0.379647; 0.0922773;0.00668948; 0.138668; false;1.85; 0.5916; 0.0000; 0.0461; False;TO;MISSING;MISSING;MISSING;MISSING;2.13; 0.6045; 0.1123;0.179; 0.1848; False;3.86;0.7947303450000001; 0.083690142; false;3.82;0.41659426899999996; 0.364410163; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-IBakery4pBinEnc-FbtOneOne-Nondeti-B-2-rhs.mata;0.57; 0.382418; 0.117393; 0.0343; 0.0409;0.45;0.2589923; 0.1413578000; False;0.37; 0.268395; 0.0840694; 0.0269951; false;0.66; 0.396014; 0.129824;0.0700338; 0.0672366; false;0.43; 0.234807; 0.0811991;0.00674502; 0.11378; false;1.23; 0.3407; 0.0000; 0.0288; False;TO;MISSING;MISSING;MISSING;MISSING;2.05; 0.5862; 0.1101;0.16160000000000002; 0.1673; False;3.78;0.71921184; 0.06214118; false;3.51;0.37372016799999996; 0.250256047; false
