name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-automata_inclusion_naive;mata-bin-automata_inclusion_antichain;automata-runtime;automata-construction;automata-intersection;automata-trim;automata-inclusion_check;automata-inclusion_result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-inclusion_check;mata-inclusion_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-trim;vata-inclusion_check;vata-inclusion_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-inclusion_check;awali-inclusion_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-inclusion;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-inclusion;pyfado-result;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-intersection;pyautomata-lib-determinization;pyautomata-lib-inclusion;pyautomata-lib-result;java-automatalib-runtime;java-automatalib-construction;java-automatalib-intersection;java-automatalib-inclusion_check;java-automatalib-inclusion_result;java-brics-runtime;java-brics-construction;java-brics-intersection;java-brics-inclusion_check;java-brics-inclusion_result
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut29.mata;0.08; 0.0693897; 0.0143755; 0.0001; 0.0001;0.14;0.0627013;0.0135422; 0.0001095000; 0.0356496000; True;0.08; 0.0709923; 0.0205143;6.4675e-05;1.4927000000000001e-05; 6.107e-06; true;0.06; 0.0469293; 0.0172022;0.003142441;0.00020846799999999998;0.00011528399999999999; 0.000212681; true;0.08; 0.0686913; 0.0205616;0.0008204049999999999;0.0007622130000000001;0.000548778; 0.00115889; true;1.2; 0.1043; 0.0000; 0.0005; 0.0000; 0.0000; True;2.37; 0.1085; 0.0056; 0.1257; 1.0398; True;1.21; 0.1054; 0.0095; 0.0049;0.0017000000000000001; 0.0018; True;1.38;0.16070992499999998;0.038689612; 0.015272337; true;1.21;0.041657635;0.004338455; 0.001273481; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut46.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;0.07; 0.0567997; 0.0174189; 0.0005; 0.0002;0.17;0.08733490000000001;0.010952400000000001; 0.0001118000; 0.0443870000; True;0.13; 0.104303; 0.035677;0.0001327;2.3827e-05; 6.599e-06; true;0.09; 0.063981; 0.0209239;0.010296002;0.00024019599999999998;0.00016741300000000002; 0.00328189; true;0.16; 0.105719; 0.035549;0.003050979;0.0008590119999999999;0.000572222; 0.0241541; true;1.22; 0.1604; 0.0000; 0.0007; 0.0000; 0.0000; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;1.31; 0.1643; 0.0257; 0.0046;0.0475; 0.0477; True;2.69;0.424312122;0.142352499; 0.076732366; true;1.87;0.18572649200000002;0.003608284; 0.074918953; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut47.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;0.05; 0.053646; 0.00880173; 0.0001; 0.0001;0.17;0.07508650000000001;0.0141095; 0.0000763000; 0.0363894000; True;0.05; 0.0468718; 0.0153866;4.5032e-05;1.2051999999999999e-05; 7.12e-06; true;0.06; 0.0465667; 0.0152495;0.003368278;0.00012840199999999998;0.000112637; 0.000353685; true;0.06; 0.0472945; 0.0147065;0.000563925;0.00060796;0.000494312; 0.00107735; true;1.16; 0.0677; 0.0000; 0.0004; 0.0000; 0.0000; True;2.02; 0.0699; 0.0034; 0.1081; 0.9007; True;1.23; 0.0691; 0.0060; 0.0028;0.0017000000000000001; 0.0018; True;1.49;0.15849912500000005;0.03258072; 0.011494226; true;1.21;0.054835067;0.003784618; 0.001709742; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut42.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut70.mata;0.13; 0.100466; 0.0215933; 0.0034; 0.0031;0.18;0.0822441;0.0370583; 0.0000838000; 0.0290417000; True;0.12; 0.0999634; 0.0268326;0.001513226;0.000488859; 7.609e-06; true;0.11; 0.0873339; 0.0174195;0.004941934;0.006400186;0.005819897; 0.000691293; true;0.13; 0.101273; 0.0289543;0.0014115599999999999;0.006112054;0.006469695; 0.00170486; true;1.02; 0.0854; 0.0000; 0.0046; 0.0000; 0.0000; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;1.39; 0.1516; 0.0147; 0.1226;0.0023; 0.0024; True;1.76;0.274865601;0.060666337; 0.012154546; true;1.37;0.05895616500000001;0.034032507; 0.001995023; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut22.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut51.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;0.07; 0.0605899; 0.013997; 0.0011; 0.0008;0.13;0.05905830000000001;0.0170381; 0.0000555000; 0.0301661000; True;0.07; 0.0625613; 0.0178621;0.001189877;0.00039153900000000005; 6.813e-06; true;0.16; 0.115254; 0.0316594;0.013459128;0.005448723000000001;0.008563192; 0.00316221; true;0.13; 0.107562; 0.0280562;0.001487706;0.0044606889999999995;0.0032553; 0.00193494; true;0.89; 0.0966; 0.0000; 0.0026; 0.0000; 0.0000; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;0.89; 0.0913; 0.0103; 0.0297;0.0031999999999999997; 0.0033; True;2.08;0.289923689;0.08201199599999999; 0.012051705; true;1.29;0.072707622;0.020430146000000003; 0.003507827; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut2.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut21.mata;0.2; 0.0929361; 0.0208448; 0.0871; 0.0075;0.22;0.0895845;0.0405616; 0.0003669000; 0.0428408000; True;0.12; 0.0955754; 0.0269204;0.003055491;0.0010431260000000001; 0.00159483; true;0.17; 0.0952681; 0.0267813;0.010363784000000001;0.013545464;0.014566375; 0.0185092; true;0.14; 0.0948442; 0.0266202;0.0016583260000000001;0.010143399;0.010827653; 0.00470505; true;1.14; 0.1381; 0.0000; 0.0154; 0.0022; 0.0020; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;1.35; 0.0794; 0.0084; 0.1426;0.3658; 0.3909; True;1.95;0.229732918;0.177901814; 0.058350759; true;1.22;0.079093075;0.0043083290000000005; 7.62124E-4; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut2.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut59.mata;0.03; 0.0233166; 0.00509083; 0.0005; 0.0002;0.16;0.0632905;0.014118799999999999; 0.0000758000; 0.0355862000; True;0.02; 0.0230112; 0.0106731;0.000174041;3.5467e-05; 5.74e-06; true;0.03; 0.0233369; 0.0108878;0.002582921;0.000482655;0.000564162; 0.000280238; true;0.03; 0.0233256; 0.0107695;0.00039718800000000003;0.001077253;0.0008528629999999999; 0.00087857; true;1.06; 0.0385; 0.0000; 0.0005; 0.0000; 0.0000; True;2.11; 0.0392; 0.0024; 0.1050; 0.9377; True;0.83; 0.0230; 0.0025; 0.0027;0.0007999999999999999; 0.0010; True;1.21;0.15882383;0.044081799; 0.008569588; true;0.88;0.025574101;0.002059045; 0.001063588; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut20.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut48.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut55.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut61.mata;0.05; 0.0488408; 0.00704087; 0.0015; 0.0009;0.18;0.0715138;0.0160258; 0.0000712000; 0.0386299000; True;0.06; 0.050685; 0.0134854;0.0008241979999999999;0.000167591; 7.003e-06; true;0.07; 0.050241; 0.0135035;0.0023864359999999996;0.003294986;0.003670266; 0.000829213; true;0.07; 0.0501533; 0.0132953;0.000398607;0.0025983279999999996;0.002323558; 0.00091385; true;1.09; 0.0701; 0.0000; 0.0022; 0.0002; 0.0000; True;3.41; 0.0711; 0.0026; 0.5995; 1.7433; True;1.18; 0.0725; 0.0046; 0.0252;0.0084; 0.0087; True;1.54;0.165616751;0.03827762; 0.019577885; true;1.17;0.046049997999999995;0.006283377; 0.001858188; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut20.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut58.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;0.06; 0.0610762; 0.00821019; 0.0002; 0.0001;0.18;0.0793035;0.0133095; 0.0000714000; 0.0465543000; True;0.07; 0.0615751; 0.0148533;0.00012921200000000002;3.3091e-05; 8.073e-06; true;0.07; 0.0616948; 0.0149692;0.002154802;0.000417338;0.0006393179999999999; 0.000484695; true;0.07; 0.061701; 0.01488;0.000371936;0.000834669;0.0008603189999999999; 0.00151102; true;1.1; 0.0795; 0.0000; 0.0004; 0.0000; 0.0000; True;4.0; 0.0810; 0.0026; 0.1873; 2.7282; True;1.16; 0.0846; 0.0044; 0.0034;0.0018000000000000002; 0.0019; True;1.84;0.20317634299999998;0.069727229; 0.02021888; true;1.27;0.05987747;0.004312119; 0.004724563; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut34.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut69.mata;0.59; 0.45628; 0.10573; 0.0207; 0.0166;0.3;0.1973046;0.0197967; 0.0000736000; 0.0384113000; True;0.54; 0.442475; 0.129242;0.004771289;0.000958718; 7.495e-06; true;0.75; 0.44765; 0.132358;0.083945459;0.020611186;0.046800406; 0.0517025; true;1.44; 0.452086; 0.133001;0.011223849000000001;0.012188901;0.013493794; 0.860746; true;1.7; 0.6645; 0.0000; 0.0353; 0.0001; 0.0000; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;5.11; 0.6623; 0.0887; 0.6094;2.8266; 2.8274; True;TO;0.209858714;MISSING;MISSING;MISSING;3.15;0.19760536899999998;0.0030466480000000003; 0.441269156; true
