name;automata-runtime;automata-construction;automata-uni;automata-trim;automata-emptiness_check;automata-emptiness_result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-uni;vata-trim;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-uni;awali-trim;awali-emptiness_check;awali-emptiness_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-union;pymata-trimming;pymata-emptiness;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-union;pyfado-emptiness;pyfado-result;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime;java-brics-construction;java-brics-uni;java-brics-emptiness_check;java-brics-emptiness_result
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-300-rhs.mata;0.2;0.1524176; 0.0229298000; 0.0012350000; 0.0004400000; False;0.12; 0.107773; 0.0247676; 0.000244179; 0.000249789; 4.5672e-05; false;0.12; 0.119435; 0.028438;0.004775; 0.00129132; 0.00113821; 0.00117882; false;0.21; 0.186953; 0.0370331;0.001645499; 0.00183834; 0.00317698; 0.002881; false;1.47; 0.2709; 0.0000; 0.0016; 0.0007; 0.0009; False;1.31; 0.1759; 0.0325; 0.1197; 0.0309; False;TO;TO;1.43;0.07113778500000001; 0.006060438; 5.1703E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-350-rhs.mata;0.2;0.1381111; 0.0090214000; 0.0005753000; 0.0001674000; False;0.23; 0.21163; 0.0409512; 0.000525881; 0.000271899; 7.8884e-05; false;0.25; 0.254836; 0.0419811;0.010820429999999999; 0.00285864; 0.00342026; 0.00354112; false;0.25; 0.208889; 0.0432822;0.001919034; 0.00209323; 0.00367426; 0.00356688; false;1.57; 0.2943; 0.0000; 0.0020; 0.0011; 0.0010; False;1.84; 0.2824; 0.0765; 0.3062; 0.0685; False;TO;TO;1.5;0.06361377; 0.010546408; 2.9555E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-400-rhs.mata;0.21;0.1479791; 0.0121471000; 0.0007972000; 0.0001783000; False;0.27; 0.251703; 0.0693641; 0.000616834; 0.000305367; 9.098e-05; false;0.3; 0.260398; 0.0461875;0.01443431; 0.00372173; 0.00584644; 0.00595799; false;0.3; 0.252864; 0.0507893;0.00245151; 0.00269016; 0.00463246; 0.00414315; false;1.51; 0.3527; 0.0000; 0.0019; 0.0011; 0.0010; False;2.12; 0.3469; 0.0995; 0.4523; 0.0873; False;TO;TO;1.15;0.082385711; 0.006599589; 5.9785E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-450-rhs.mata;0.2;0.1529993; 0.0101541000; 0.0007948000; 0.0001997000; False;0.31; 0.289426; 0.053276; 0.000712958; 0.000689981; 4.6473e-05; false;0.34; 0.339457; 0.0534161;0.01581557; 0.00389191; 0.00602629; 0.0063553; false;0.18; 0.151653; 0.0345392;0.001352289; 0.00136475; 0.00265676; 0.00247548; false;1.23; 0.2028; 0.0000; 0.0014; 0.0008; 0.0007; False;1.87; 0.3805; 0.1276; 0.4598; 0.0608; False;TO;TO;1.46;0.077967753; 0.00640914; 3.4241E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-50-rhs.mata;0.14;0.07612000000000001; 0.0078840000; 0.0002503000; 0.0001930000; False;0.03; 0.0309882; 0.0110767; 8.7579e-05; 5.3462e-05; 1.2747e-05; false;0.03; 0.0310643; 0.0367457;0.001413945; 0.000325382; 0.000301653; 0.000273799; false;0.04; 0.0280012; 0.0113811;0.00027902; 0.000828338; 0.000976528; 0.00048968; false;1.36; 0.0642; 0.0000; 0.0007; 0.0002; 0.0002; False;1.09; 0.0479; 0.0029; 0.0079; 0.0020; False;TO;TO;1.01;0.03075088; 0.025677597; 3.5303E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-500-rhs.mata;0.24;0.2074474; 0.0136493000; 0.0008602000; 0.0001945000; False;0.3; 0.261141; 0.0567473; 0.00079403; 0.000810732; 5.6834e-05; false;0.37; 0.311977; 0.0531079;0.01836084; 0.00391833; 0.00556785; 0.00623711; false;0.37; 0.319972; 0.0573714;0.00286397; 0.00301515; 0.0061043; 0.00505162; false;1.16; 0.2175; 0.0000; 0.0017; 0.0007; 0.0008; False;2.09; 0.4006; 0.1518; 0.3856; 0.0733; False;TO;TO;1.48;0.08397802500000001; 0.006958981; 3.6012E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-550-rhs.mata;0.24;0.2005269; 0.0112105000; 0.0014566000; 0.0003611000; False;0.37; 0.394618; 0.0629146; 0.000922501; 0.000888031; 6.1711e-05; false;0.4; 0.328982; 0.0611224;0.0205416; 0.00417859; 0.00601309; 0.00568631; false;0.37; 0.335986; 0.0521101;0.00176291; 0.00160318; 0.00331614; 0.00311502; false;1.67; 0.4424; 0.0000; 0.0036; 0.0018; 0.0019; False;2.64; 0.4369; 0.1794; 0.7178; 0.1776; False;TO;TO;1.45;0.224361035; 0.010377613; 4.4569E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-600-rhs.mata;0.27;0.2024068; 0.0159558000; 0.0013806000; 0.0002973000; False;0.36; 0.401023; 0.0468837; 0.000506202; 0.000622061; 6.57e-05; false;0.5; 0.39287; 0.0724129;0.0232552; 0.00659478; 0.0102796; 0.0126476; false;0.26; 0.226892; 0.0434767;0.001786429; 0.00171424; 0.00360853; 0.00344169; false;1.18; 0.3239; 0.0000; 0.0023; 0.0012; 0.0014; False;2.68; 0.3554; 0.1078; 0.8427; 0.2315; False;TO;TO;1.57;0.086177281; 0.008492266; 3.6881E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-650-rhs.mata;0.26;0.24191959999999998; 0.0082384000; 0.0010194000; 0.0002394000; False;0.46; 0.414797; 0.0756585; 0.000989291; 0.000564052; 5.6538e-05; false;0.3; 0.235151; 0.0491462;0.01333364; 0.00387495; 0.00585115; 0.00706718; false;0.49; 0.432205; 0.0767017;0.0041925899999999995; 0.00378631; 0.00747995; 0.00733047; false;1.23; 0.3427; 0.0000; 0.0028; 0.0013; 0.0012; False;3.27; 0.5521; 0.2440; 1.0843; 0.2555; False;TO;TO;1.53;0.089460785; 0.009421924; 4.2672E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-700-rhs.mata;0.3;0.2273242; 0.0123751000; 0.0068445000; 0.0003759000; False;0.45; 0.426525; 0.0777992; 0.00111633; 0.000793564; 7.7462e-05; false;0.48; 0.438065; 0.0512852;0.01912391; 0.00397829; 0.00770728; 0.00840416; false;0.42; 0.41819; 0.0519892;0.00244604; 0.0022581; 0.00511279; 0.00503151; false;1.71; 0.5525; 0.0000; 0.0035; 0.0022; 0.0021; False;2.19; 0.3303; 0.1658; 0.6949; 0.1527; False;TO;TO;1.52;0.13996340699999998; 0.011356893; 6.0787E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-750-rhs.mata;0.29;0.24265029999999999; 0.0116531000; 0.0015380000; 0.0002707000; False;0.38; 0.368594; 0.0512592; 0.000647046; 0.000447376; 5.402e-05; false;0.58; 0.485657; 0.0829365;0.0272307; 0.00707802; 0.00967729; 0.0101701; false;0.29; 0.259317; 0.0517991;0.00229285; 0.00201525; 0.00444199; 0.00483443; false;1.2; 0.3310; 0.0000; 0.0025; 0.0016; 0.0015; False;3.74; 0.6322; 0.3272; 1.3251; 0.2917; False;TO;TO;1.67;0.092810085; 0.010218508; 3.1259E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-800-rhs.mata;0.3;0.243406; 0.0129811000; 0.0018600000; 0.0003506000; False;0.53; 0.540341; 0.0872468; 0.00129259; 0.000965892; 7.525e-05; false;0.58; 0.490801; 0.0700542;0.0207495; 0.00808233; 0.0120563; 0.0130779; false;0.33; 0.276381; 0.0676752;0.00249744; 0.00223191; 0.0052178; 0.00528815; false;1.63; 0.3889; 0.0000; 0.0037; 0.0022; 0.0025; False;4.11; 0.6492; 0.3653; 1.5750; 0.3733; False;TO;TO;1.59;0.114023455; 0.012615133; 3.578E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-850-rhs.mata;0.32;0.2740455; 0.0142472000; 0.0027117000; 0.0003656000; False;0.61; 0.584743; 0.0945992; 0.0013938; 0.00102985; 7.4096e-05; false;0.45; 0.401459; 0.0554567;0.018866439999999998; 0.00705599; 0.00952703; 0.0090619; false;0.4; 0.352951; 0.0590095;0.00440188; 0.00260793; 0.00520236; 0.00536821; false;1.91; 0.7415; 0.0000; 0.0062; 0.0036; 0.0040; False;4.11; 0.7172; 0.4430; 1.7999; 0.4205; False;TO;TO;1.58;0.109875694; 0.014327776; 6.4185E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-900-rhs.mata;0.18;0.1492262; 0.0073831000; 0.0010956000; 0.0001870000; False;0.35; 0.336922; 0.0581316; 0.000766334; 0.000741468; 5.6978e-05; false;0.71; 0.60637; 0.107879;0.029498499999999997; 0.00663671; 0.0123133; 0.0127812; false;0.67; 0.589864; 0.0987838;0.00504884; 0.00433082; 0.0097555; 0.0101774; false;2.02; 0.7233; 0.0000; 0.0059; 0.0038; 0.0036; False;4.83; 0.7358; 0.4808; 2.0157; 0.4230; False;TO;TO;1.97;0.155611641; 0.039375188; 3.5924E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_unsat-950-rhs.mata;0.36;0.3348622; 0.0150866000; 0.0030295000; 0.0004050000; False;0.63; 0.602197; 0.111939; 0.00169886; 0.0014424; 0.000142011; false;0.79; 0.655263; 0.115601;0.038499900000000004; 0.0108605; 0.0152474; 0.0184987; false;0.69; 0.663026; 0.123607;0.00555754; 0.0049296; 0.0121683; 0.0128523; false;1.57; 0.4022; 0.0000; 0.0045; 0.0028; 0.0028; False;5.33; 0.7945; 0.5443; 2.2611; 0.5593; False;TO;TO;1.74;0.098592795; 0.014034321; 2.5036E-5; false
