name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-intersection;mata-bin-emptiness_check;automata-runtime;automata-construction;automata-intersection;automata-trim;automata-emptiness_check;automata-emptiness_result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-trim;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-emptiness_check;awali-emptiness_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-emptiness;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-emptiness;pyfado-result;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime;java-brics-construction;java-brics-intersection;java-brics-emptiness_check;java-brics-emptiness_result
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-400-rhs.mata;0.51; 0.302811; 0.0574359; 0.2365; 0.0086;3.13;0.1815621; 3.0673006000; 0.0006441000; 0.0002087000; False;0.47; 0.167197; 0.0685696; 0.25619; 0.0593035; 6.9403e-05; false;2.94; 0.169145; 0.0610222;0.00769532; 1.60799; 1.45334; 0.00258629; false;2.79; 0.257454; 0.064334;0.002017995; 0.954676; 1.55239; 0.0218305; false;3.51; 0.3166; 0.0000; 1.6372; 0.5548; 0.0023; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;6.54;0.088858894; 2.702307061; 5.3495E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-450-rhs.mata;0.5; 0.129292; 0.0445386; 0.2877; 0.1243;3.7;0.1909303; 3.7490151000; 0.0003432000; 0.0001693000; False;0.74; 0.286519; 0.0756547; 0.349661; 0.156126; 0.000187507; false;3.74; 0.237807; 0.0808131;0.015607820000000001; 2.03275; 1.63543; 0.00199686; false;2.59; 0.201705; 0.0559046;0.0027298599999999998; 0.920669; 1.43685; 0.0235039; false;3.87; 0.3596; 0.0000; 1.9756; 0.5813; 0.0017; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;8.99;0.08413068500000001; 3.836979421; 3.6603E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-50-rhs.mata;0.03; 0.02489; 0.00601872; 0.0029; 0.0007;0.18;0.07809450000000001; 0.0497200000; 0.0001505000; 0.0002248000; False;0.03; 0.028102; 0.0118604; 0.00295218; 0.00117145; 1.2206e-05; false;0.06; 0.0278472; 0.0120338;0.0014218820000000002; 0.0131284; 0.0189629; 0.00528165; false;0.06; 0.0281511; 0.0120848;0.000284481; 0.00829054; 0.0145373; 0.000574655; false;1.41; 0.0444; 0.0000; 0.0115; 0.0022; 0.0001; False;5.2; 0.0491; 0.0032; 3.0213; 1.1778; False;TO;TO;1.18;0.033927254000000004; 0.049252222; 3.5791E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-500-rhs.mata;0.54; 0.13703; 0.0573148; 0.2679; 0.0478;4.08;0.1022883; 4.2947902000; 0.0007012000; 0.0002257000; False;0.81; 0.30641; 0.102112; 0.419136; 0.0952802; 9.1197e-05; false;4.18; 0.248798; 0.051257;0.00848366; 1.99179; 2.26349; 0.00150311; false;3.22; 0.159876; 0.0506153;0.0014725390000000001; 1.14028; 1.85402; 0.02968; false;4.32; 0.3767; 0.0000; 2.4779; 0.7252; 0.0018; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;10.38;0.10401106199999999; 4.276673602; 3.1808E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-550-rhs.mata;1.0; 0.294991; 0.0706646; 0.6191; 0.0212;6.33;0.2054797; 6.5215776000; 0.0010168000; 0.0002250000; False;1.07; 0.32657; 0.08498; 0.584053; 0.209238; 0.000146842; false;5.78; 0.31476; 0.0846056;0.01969535; 3.37308; 2.78997; 0.00618149; false;5.05; 0.302359; 0.0798849;0.0032257600000000003; 1.84009; 2.91821; 0.0375746; false;5.36; 0.4465; 0.0000; 3.4806; 1.0387; 0.0037; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;12.14;0.10373718; 5.202224491; 4.08E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-600-rhs.mata;0.99; 0.204624; 0.0796766; 0.6125; 0.1016;7.1;0.3436619; 7.2547892000; 0.0007393000; 0.0001846000; False;1.06; 0.34179; 0.0896427; 0.68981; 0.151496; 0.000177032; false;7.22; 0.399569; 0.106614;0.0213564; 4.01234; 2.77925; 0.652807; false;5.52; 0.194014; 0.0629152;0.001864166; 1.91743; 3.16345; 0.0561439; false;6.19; 0.3146; 0.0000; 3.9655; 1.2872; 0.0058; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;14.31;0.12303573400000001; 5.996481174; 4.1722E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-650-rhs.mata;1.46; 0.325594; 0.0924431; 0.8821; 0.1234;9.91;0.1673655; 10.0204322000; 0.0008400000; 0.0002534000; False;1.42; 0.363725; 0.106509; 0.939536; 0.160563; 0.000210954; false;9.36; 0.4004; 0.104755;0.0253771; 4.28857; 4.10781; 0.99898; false;8.04; 0.333533; 0.106357;0.0032725899999999997; 2.92177; 4.51602; 0.0652994; false;7.7; 0.5534; 0.0000; 5.1125; 1.5900; 0.0050; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;17.24;0.085898078; 7.584318408; 3.8786E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-700-rhs.mata;1.33; 0.340123; 0.0835601; 1.0221; 0.0290;11.5;0.1774993; 11.6084090000; 0.0008155000; 0.0002340000; False;1.34; 0.359818; 0.137712; 0.863474; 0.16757; 0.000209475; false;11.0; 0.256518; 0.0724718;0.01407336; 5.54834; 4.65441; 1.18928; false;7.11; 0.224754; 0.0724445;0.00211407; 2.49446; 4.1333; 0.0740292; false;9.04; 0.5539; 0.0000; 6.2083; 1.7837; 0.0072; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;20.3;0.093094283; 9.154077274; 3.6873E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-750-rhs.mata;2.13; 0.558929; 0.165716; 1.4726; 0.1697;14.38;0.2392255; 15.0051572000; 0.0009238000; 0.0002091000; False;1.88; 0.38828; 0.142353; 1.25582; 0.300574; 0.000264079; false;9.86; 0.395274; 0.0782879;0.01494577; 5.3111; 3.67586; 1.00091; false;10.96; 0.434446; 0.118925;0.004678730000000001; 4.275; 5.94023; 0.092879; false;9.31; 0.6449; 0.0000; 6.4657; 1.7895; 0.0053; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;21.35;0.091246703; 9.129768249; 3.2163E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-800-rhs.mata;1.93; 0.418187; 0.115186; 1.4888; 0.1781;17.81;0.2659261; 18.3579971000; 0.0011040000; 0.0002429000; False;1.73; 0.327019; 0.126255; 1.31233; 0.225396; 0.000150244; false;11.54; 0.263847; 0.0988983;0.023511; 6.52676; 4.27401; 1.15149; false;10.2; 0.444901; 0.0926239;0.00261117; 3.84132; 5.79347; 0.108812; false;9.49; 0.4229; 0.0000; 6.8521; 2.2099; 0.0076; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;TO;26.81;0.12332917299999999; 11.024537588; 4.9048E-5; false
