name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-automata_inclusion_naive;mata-bin-automata_inclusion_antichain;automata-runtime;automata-construction;automata-intersection;automata-trim;automata-inclusion_check;automata-inclusion_result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-inclusion_check;mata-inclusion_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-trim;vata-inclusion_check;vata-inclusion_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-inclusion_check;awali-inclusion_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-inclusion;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-inclusion;pyfado-result;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-intersection;pyautomata-lib-determinization;pyautomata-lib-inclusion;pyautomata-lib-result;java-automatalib-runtime;java-automatalib-construction;java-automatalib-intersection;java-automatalib-inclusion_check;java-automatalib-inclusion_result;java-brics-runtime;java-brics-construction;java-brics-intersection;java-brics-inclusion_check;java-brics-inclusion_result
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut35.mata;0.16; 0.0968948; 0.0495268; 0.0049; 0.0045;0.21;0.13732760000000002;0.0264087; 0.0000782000; 0.0402199000; True;0.11; 0.0734697; 0.0494995;0.00164958;0.00044632; 1.0018e-05; true;0.18; 0.115583; 0.0448983;0.012708279999999999;0.006857563;0.008653512; 0.00372623; true;0.17; 0.115923; 0.049779;0.0023640469999999998;0.005661171999999999;0.005266311; 0.003423; true;1.22; 0.1915; 0.0000; 0.0084; 0.0000; 0.0000; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;1.31; 0.1688; 0.0235; 0.1454;0.0073; 0.0074; True;2.29;0.36163845699999997;0.09584895800000001; 0.022986724; true;1.42;0.07830367;0.004789985; 0.005715856; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut27.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut65.mata;0.04; 0.0446883; 0.0195438; 0.0011; 0.0002;0.2;0.08438509999999999;0.015714699999999998; 0.0001069000; 0.0505979000; True;0.05; 0.0372057; 0.0166525;0.00014348899999999998;4.0974e-05; 8.082e-06; true;0.05; 0.0373134; 0.0168026;0.004119338;0.000506511;0.000650676; 0.0006655; true;0.05; 0.0366432; 0.0158213;0.000668493;0.0009690800000000001;0.0009896689999999999; 0.00172611; true;1.19; 0.0742; 0.0000; 0.0007; 0.0000; 0.0000; True;1.65; 0.0789; 0.0052; 0.1009; 0.2862; True;1.1; 0.0734; 0.0049; 0.0025;0.0011; 0.0012; True;1.63;0.23316792699999997;0.055409441; 0.008025519; true;1.09;0.040821513;0.003837041; 0.003688596; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut10.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut37.mata;0.13; 0.094689; 0.0342864; 0.0081; 0.0069;0.23;0.10133;0.056411199999999995; 0.0001657000; 0.0344632000; True;0.13; 0.166304; 0.0373659;0.005213782;0.001203921; 0.000222364; true;0.34; 0.102445; 0.0323649;0.018631993999999995;0.05067062;0.13617177; 0.00499481; true;0.17; 0.0957859; 0.0319798;0.0014899019999999998;0.0193283;0.03245749999999999; 0.00256048; true;1.3; 0.1976; 0.0000; 0.0180; 0.0003; 0.0003; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;1.35; 0.1340; 0.0121; 0.3008;0.0077; 0.0080; True;2.42;0.416867284;0.079493869; 0.021805552; true;1.89;0.157053077;0.126333882; 0.001598504; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut12.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut30.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.11; 0.135144; 0.0696926; 0.0014; 0.0009;0.18;0.09843549999999998;0.0172221; 0.0001048000; 0.0258663000; True;0.1; 0.15185; 0.0287778;0.000278947;7.9554e-05; 5.17e-06; true;0.13; 0.101081; 0.0316207;0.019598379;0.001383082;0.001414377; 0.00614612; true;0.14; 0.0887601; 0.023206;0.003342626;0.002079748;0.001801058; 0.0607722; true;1.26; 0.1671; 0.0000; 0.0037; 0.0000; 0.0000; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;1.02; 0.1010; 0.0172; 0.0368;0.0263; 0.0265; True;TO;0.127328199;MISSING;MISSING;MISSING;1.73;0.139078697;0.003528098; 0.06891377; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut13.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut18.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut19.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut41.mata;0.02; 0.0180644; 0.00391316; 0.0001; 0.0000;0.16;0.0718698;0.014054400000000002; 0.0000694000; 0.0491187000; True;0.02; 0.0166687; 0.00862939;6.25e-06;3.715e-06; 7.049e-06; true;0.02; 0.0165257; 0.00888232;0.001127406;8.514e-06;8.865e-06; 4.2554e-05; true;0.02; 0.016536; 0.00855206;0.000198724;0.0005101540000000001;0.00040577999999999995; 0.000610599; true;1.06; 0.0366; 0.0000; 0.0000; 0.0001; 0.0000; True;1.46; 0.0377; 0.0014; 0.0883; 0.2160; True;1.08; 0.0366; 0.0024; 0.0001;0.0004; 0.0004; True;1.65;0.173298103;0.097174176; 0.014051513; true;1.17;0.060569835999999995;0.0029396730000000003; 8.80834E-4; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut23.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut42.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut50.mata;0.01; 0.00918307; 0.00211171; 0.0002; 0.0001;0.17;0.0648883;0.0148933; 0.0000796000; 0.0371308000; True;0.0; 0.00855961; 0.00600227;0.000134411;4.2601e-05; 5.137e-06; true;0.02; 0.0160479; 0.00956102;0.0013925889999999998;0.000875238;0.001121861; 3.2656e-05; true;0.03; 0.0156819; 0.0089359;0.000232589;0.00120919;0.0009894799999999998; 0.000652544; true;1.16; 0.0370; 0.0000; 0.0008; 0.0000; 0.0000; True;1.49; 0.0380; 0.0016; 0.1644; 0.1700; True;1.09; 0.0353; 0.0026; 0.0079;0.0004; 0.0004; True;1.39;0.17841892899999998;0.044069712999999996; 0.005699163; true;1.12;0.027679022;0.008010557; 7.14922E-4; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut14.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut32.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut67.mata;0.09; 0.0709003; 0.0170751; 0.0035; 0.0031;0.19;0.088217;0.0176777; 0.0000696000; 0.0359841000; True;0.09; 0.0751942; 0.0229146;0.001091088;0.000222858; 7.497e-06; true;0.11; 0.0752824; 0.0231776;0.006267554999999999;0.005075688;0.01112381; 0.00234622; true;0.09; 0.0752469; 0.0236171;0.001049276;0.0036910920000000004;0.0036965290000000005; 0.00258212; true;1.14; 0.1250; 0.0000; 0.0071; 0.0002; 0.0000; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;1.24; 0.1355; 0.0108; 0.0972;0.0060999999999999995; 0.0062; True;1.94;0.260626744;0.060562871; 0.042305996; true;1.2;0.05599230299999999;0.003433039; 0.007257374; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut15.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut40.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut66.mata;0.02; 0.0174529; 0.0070535; 0.0003; 0.0000;0.16;0.0649754;0.013588399999999999; 0.0000773000; 0.0362169000; True;0.02; 0.0180429; 0.0129499;1.1748999999999999e-05;6.248e-06; 7.569e-06; true;0.02; 0.0178723; 0.0129439;0.0030719189999999998;2.1967e-05;1.8204e-05; 0.000462678; true;0.03; 0.01745; 0.0137706;0.000472393;0.00064337;0.000520845; 0.00137574; true;1.1; 0.0414; 0.0000; 0.0001; 0.0000; 0.0000; True;1.54; 0.0424; 0.0027; 0.0338; 0.3954; True;1.12; 0.0450; 0.0052; 0.0004;0.0016; 0.0016; True;1.63;0.199714802;0.064367763; 0.010660533; true;1.19;0.044486024;0.0023129009999999996; 0.001889838; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut15.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut43.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut62.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.14; 0.0861184; 0.0471043; 0.0012; 0.0001;0.2;0.0941462;0.0130101; 0.0000742000; 0.0390577000; True;0.13; 0.0880056; 0.0492842;1.6071e-05;6.711e-06; 7.917e-06; true;0.17; 0.0873132; 0.048251;0.030952581;5.4567999999999997e-05;3.3117e-05; 0.00861038; true;0.18; 0.0875545; 0.0519605;0.005069813;0.000852221;0.000569683; 0.0408948; true;1.26; 0.1916; 0.0000; 0.0003; 0.0000; 0.0000; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;1.46; 0.1975; 0.0413; 0.0007;0.0709; 0.0712; True;3.18;0.56089934;0.125182363; 0.170781185; true;2.09;0.19005723;0.014514507; 0.140263895; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut17.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut68.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut74.mata;0.15; 0.107201; 0.0426501; 0.0005; 0.0002;0.22;0.1120139;0.013664599999999999; 0.0000747000; 0.0484622000; True;0.17; 0.256658; 0.0730794;0.00011966900000000001;2.3236999999999998e-05; 5.958e-06; true;0.2; 0.12577; 0.0542292;0.0241143;0.000466167;0.000429083; 0.00105359; true;0.19; 0.1376; 0.053704;0.003830816;0.000906354;0.000603326; 0.00239011; true;1.38; 0.2215; 0.0000; 0.0024; 0.0002; 0.0000; True;TO;MISSING;MISSING;MISSING;MISSING;MISSING;1.3; 0.2184; 0.0244; 0.0134;0.0039; 0.0041; True;2.3;0.328661902;0.078476867; 0.024860794; true;1.44;0.082568333;0.006436427; 0.005038862; true
