name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;automata-runtime;automata-construction;mata-runtime;mata-mataparsing;mata-mataminterm;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;pymata-runtime;pyfado-runtime;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime;java-brics-construction
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-750-rhs.mata;TO; 0.45567; 0.184575;TO;0.4843828;TO; 0.515499; 0.230587;TO; 0.371314; 0.155106;0.023243899999999998;TO; 0.334092; 0.0780682;0.00236851;TO;TO;TO;TO;TO;0.176466396
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-800-rhs.mata;ERR;ERR;ERR;TO;0.2511143;TO; 0.676417; 0.145112;TO; 0.282493; 0.10217;0.017999479999999998;TO; 0.487761; 0.141079;0.00433481;TO;TO;TO;TO;TO;0.107611772
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-850-rhs.mata;TO; 0.435729; 0.1318;TO;0.3858223;TO; 0.614859; 0.117993;TO; 0.585483; 0.155796;0.0304022;TO; 0.818456; 0.26897;0.00513818;TO;TO;TO;TO;TO;0.23144162799999998
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-900-rhs.mata;TO; 0.658094; 0.130598;TO;0.4645954;TO; 0.587923; 0.284942;TO; 0.557347; 0.178866;0.033143000000000006;TO; 0.692909; 0.118802;0.00309235;TO;TO;TO;TO;TO;0.114077811
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_sat-950-rhs.mata;TO; 0.615682; 0.140923;TO;0.2147381;TO; 0.727099; 0.220936;TO; 0.459536; 0.168579;0.0384401;TO; 0.509206; 0.115377;0.00326974;TO;TO;TO;TO;TO;0.163341218
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-100-rhs.mata;TO; 0.0496892; 0.0127115;TO;0.0920298;TO; 0.0604191; 0.0231674;TO; 0.0545608; 0.0192359;0.00349316;TO; 0.0896483; 0.0470708;0.00047718299999999995;TO;TO;TO;TO;TO;0.04149733
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-1000-rhs.mata;TO; 0.709801; 0.171419;TO;0.3981323;TO; 0.987938; 0.155717;TO; 0.565; 0.16371;0.0403195;TO; 0.512691; 0.109315;0.00358856;TO;TO;TO;TO;TO;0.217658242
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-150-rhs.mata;TO; 0.06843; 0.0172295;TO;0.1137396;TO; 0.0843801; 0.0276992;TO; 0.154039; 0.0424464;0.0038923200000000003;TO; 0.113552; 0.0388341;0.000726198;TO;TO;TO;TO;TO;0.039943443999999995
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-200-rhs.mata;TO; 0.135172; 0.0253108;TO;0.1346017;TO; 0.112601; 0.0323956;TO; 0.110064; 0.0303181;0.00559177;TO; 0.194804; 0.0745096;0.001149954;TO;TO;TO;TO;TO;0.053014727
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-250-rhs.mata;TO; 0.16622; 0.0382391;TO;0.2717376;TO; 0.309764; 0.082599;TO; 0.102103; 0.0266233;0.004049860000000001;TO; 0.264771; 0.0761808;0.0011987999999999999;TO;TO;TO;TO;TO;0.10115866000000001
