name;automata-runtime;automata-construction;automata-uni;automata-trim;automata-emptiness_check;automata-emptiness_result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-uni;vata-trim;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-uni;awali-trim;awali-emptiness_check;awali-emptiness_check_result;pymata-runtime;pymata-construction;pymata-conversion;pymata-union;pymata-trimming;pymata-emptiness;pymata-result;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-union;pyfado-emptiness;pyfado-result;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-union;pyautomata-lib-determinization;pyautomata-lib-emptiness;pyautomata-lib-result;java-automatalib-runtime;java-automatalib-construction;java-automatalib-uni;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-brics-runtime;java-brics-construction;java-brics-uni;java-brics-emptiness_check;java-brics-emptiness_result
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-38-*.mata;0.6;0.31259090000000006;0.17239279999999998;0.0513139; 0.0002279000; False;0.96; 0.662456; 0.186195;0.09749358300000001;0.028933367; 0.000999271; false;2.64; 0.645171; 0.177377;0.06035273999999999;0.851603569;0.929839627; 0.0593103; false;1.13; 0.667751; 0.174533;0.005170841999999999;0.165139414;0.22817800600000002; 0.0132586; false;1.57; 0.5592; 0.0000; 0.1305; 0.0018; 0.0041; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;1.0220124089999998;MISSING;MISSING;MISSING;3.22;0.39381163699999994; 0.372297721; 4.6441E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-39-*.mata;0.56;0.3741822;0.16610719999999995;0.05258349999999999; 0.0002203000; False;0.95; 0.659665; 0.185292;0.09443717900000001;0.033703030999999994; 0.00123101; false;3.01; 0.758588; 0.237748;0.060345230000000014;0.9970253099999999;1.05324183; 0.0499591; false;1.27; 0.690746; 0.214454;0.005220305999999998;0.127242843;0.273718533; 0.0215242; false;2.04; 0.8163; 0.0000; 0.2108; 0.0032; 0.0077; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;1.1948895089999998;MISSING;MISSING;MISSING;2.91;0.226516812; 0.355420339; 4.5986E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-4-*.mata;0.09;0.05133479999999999;0.0052361000000000005;0.0001358; 0.0001520000; False;0.0; 0.00801494; 0.0112979;8.0281e-05;3.7237e-05; 7.887e-06; false;0.01; 0.00561791; 0.0071091;0.000691031;0.00030402900000000004;0.000274692; 0.000111565; false;0.01; 0.00687083; 0.00786379;0.000724367;0.000819;0.000777376; 0.000125379; false;1.23; 0.0167; 0.0000; 0.0004; 0.0000; 0.0000; False;1.22; 0.0144; 0.0006; 0.0027; 0.0004; False;1.17; 0.0131; 0.0015; 0.0011; 0.0032; 0.0034; False;1.16;0.109364837; 0.026462933; 0.002022799; false;0.88;0.020288183; 0.002915376; 3.4181E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-40-*.mata;0.66;0.30751259999999997;0.21040530000000007;0.05998459999999999; 0.0002229000; False;0.95; 0.612227; 0.292468;0.097737551;0.032314912; 0.000787318; false;3.28; 0.785176; 0.226551;0.06944561999999999;1.08194742;1.2008625180000003; 0.0507421; false;1.66; 0.739291; 0.210414;0.010803876000000002;0.23306193500000003;0.48014748; 0.0273486; false;2.2; 1.0296; 0.0000; 0.2344; 0.0035; 0.0072; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;0.9853806110000003;MISSING;MISSING;MISSING;2.96;0.25880097; 0.362262049; 5.2594E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-41-*.mata;0.63;0.2991752;0.20997760000000007;0.0794697; 0.0002326000; False;1.09; 0.784341; 0.211115;0.11118885800000002;0.032799893000000004; 0.00109057; false;3.08; 0.576586; 0.213608;0.06635275;1.117326212;1.2420183310000001; 0.0512646; false;1.4; 0.76394; 0.276061;0.007580200000000001;0.14560794700000002;0.33488652399999996; 0.0193453; false;2.34; 1.0714; 0.0000; 0.2481; 0.0029; 0.0069; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;1.2615647680000004;MISSING;MISSING;MISSING;3.08;0.22641017; 0.39831854; 4.2562E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-42-*.mata;0.52;0.23186510000000005;0.15091559999999998;0.059385400000000005; 0.0001794000; False;1.25; 0.839519; 0.261895;0.12801737500000002;0.045230368; 0.000959831; false;3.58; 0.820571; 0.251436;0.07988071999999999;1.1687125100000002;1.217045899; 0.0598307; false;1.32; 0.508041; 0.242678;0.006364473999999999;0.21023367599999998;0.4262413870000001; 0.0168345; false;2.53; 1.2167; 0.0000; 0.2868; 0.0038; 0.0078; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;1.2989748790000004;MISSING;MISSING;MISSING;3.02;0.23345510800000008; 0.397194293; 5.1304E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-43-*.mata;0.52;0.24772720000000004;0.16699479999999997;0.07161240000000002; 0.0001503000; False;1.26; 0.932439; 0.25478;0.13464384000000004;0.047832174; 0.00095724; false;3.53; 0.746832; 0.136784;0.042384398999999996;1.227900056;1.3685630130000002; 0.0933301; false;1.84; 0.856135; 0.247329;0.011878312000000002;0.27064178799999994;0.5354963500000001; 0.0277221; false;2.33; 1.1079; 0.0000; 0.2618; 0.0021; 0.0093; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;1.340877885;MISSING;MISSING;MISSING;3.21;0.31562826800000005; 0.350463469; 2.7032E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-44-*.mata;0.71;0.3486695;0.19037589999999996;0.07017639999999999; 0.0001399000; False;1.47; 0.980126; 0.311047;0.16679401899999996;0.06696886500000002; 0.00152859; false;4.05; 0.896342; 0.283952;0.05979370999999999;1.3338170450000004;1.442969864; 0.0524284; false;1.38; 0.508391; 0.161334;0.008493216999999997;0.21824591499999998;0.471188199; 0.0290376; false;2.27; 1.0221; 0.0000; 0.2300; 0.0022; 0.0048; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;1.3581752829999993;MISSING;MISSING;MISSING;3.41;0.289679962; 0.512812346; 6.1443E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-45-*.mata;0.69;0.2786834;0.25669630000000004;0.07183310000000001; 0.0002101000; False;0.92; 0.667825; 0.179161;0.08980965400000002;0.028412221000000005; 0.00114867; false;3.93; 0.780538; 0.213353;0.049152709999999995;1.3822996449999998;1.499363596; 0.0796453; false;2.11; 0.915332; 0.248864;0.012863923999999997;0.326896547;0.63295893; 0.0292299; false;2.09; 0.7442; 0.0000; 0.2538; 0.0028; 0.0062; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;1.3879888939999996;MISSING;MISSING;MISSING;3.26;0.38202107199999996; 0.491338583; 3.9319E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-46-*.mata;0.97;0.46228059999999993;0.2630077999999999;0.14173739999999999; 0.0001782000; False;1.45; 0.983488; 0.300231;0.16489404400000002;0.05371800700000001; 0.00163111; false;4.59; 0.653115; 0.178593;0.0515687;1.8049536179999996;2.011873818; 0.0830929; false;1.84; 0.757966; 0.188176;0.007695059;0.27901465699999994;0.654448516; 0.038097; false;2.78; 1.3802; 0.0000; 0.3086; 0.0028; 0.0076; False;TO;MISSING;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;TO;1.4159702719999996;MISSING;MISSING;MISSING;3.67;0.43050371100000007; 0.57079168; 3.471E-5; false
